game_id,platform_id
126,15
126,21
126,29
127,15
127,20
127,28
127,29
127,32
128,15
128,20
128,25
128,28
128,29
128,31
128,32
129,15
129,21
129,29
130,15
130,21
130,29
131,12
131,15
131,20
131,25
131,28
131,29
132,14
132,15
132,20
132,28
132,29
133,14
133,15
133,21
133,29
134,14
134,15
134,20
134,28
134,32
135,15
135,20
135,28
135,29
136,8
136,10
136,12
136,14
136,15
136,25
136,32
137,8
137,14
137,15
137,21
137,29
137,32
138,8
138,14
138,15
138,21
138,29
138,31
138,32
139,14
139,15
139,16
139,20
139,21
139,26
139,28
139,29
140,8
140,14
140,15
140,21
140,29
140,32
141,8
141,15
141,20
141,21
141,28
141,29
141,32
142,8
142,14
142,15
142,21
142,29
142,32
143,1
143,15
143,21
143,29
143,31
143,32
144,15
144,21
144,29
145,15
146,15
146,31
147,8
147,15
147,32
148,15
149,15
150,15
150,21
150,29
151,15
151,28
152,15
152,21
152,22
152,29
152,30
153,15
153,32
154,8
154,15
154,20
154,28
154,29
154,31
154,32
155,8
155,15
155,27
155,32
156,15
157,8
157,15
157,32
158,8
158,15
158,32
159,8
159,15
159,20
159,28
160,8
160,15
160,32
161,14
161,15
161,21
161,29
162,1
162,4
162,7
162,15
162,19
162,20
162,28
162,31
163,15
163,21
163,29
164,8
164,15
164,32
165,8
165,15
165,22
165,30
165,32
166,15
167,8
167,14
167,15
167,16
167,21
167,29
167,31
167,32
168,15
168,20
168,28
169,15
169,20
169,28
170,15
171,15
171,20
171,28
171,29
172,15
173,15
173,21
173,29
174,14
174,15
174,21
174,29
174,32
175,14
175,15
175,21
175,22
175,29
175,30
176,8
176,15
176,32
177,15
178,14
178,15
178,21
178,29
179,14
179,15
179,21
179,22
179,29
180,1
180,2
180,5
180,14
180,15
180,21
180,28
180,29
180,31
180,32
181,14
181,15
181,21
181,29
182,15
182,28
183,15
183,20
183,28
184,15
184,20
184,21
184,28
184,29
185,15
185,21
185,29
186,15
186,21
186,29
187,15
187,20
187,28
188,14
188,15
188,21
188,29
189,8
189,14
189,15
189,16
189,21
189,29
189,32
190,14
190,15
190,20
190,28
190,29
191,14
191,15
191,20
191,26
191,28
192,14
192,15
192,21
192,29
193,14
193,15
193,21
193,29
194,14
194,15
194,21
194,26
194,29
195,8
195,14
195,15
195,21
195,29
195,32
196,8
196,15
196,32
197,8
197,15
197,32
198,8
198,15
198,16
198,21
198,29
198,31
198,32
199,15
199,21
199,29
200,15
200,21
201,8
201,14
201,15
201,21
201,29
201,31
201,32
202,15
202,20
202,28
203,8
203,15
203,21
203,29
204,15
204,20
204,28
205,15
205,20
205,21
205,28
205,29
206,15
206,20
206,28
206,29
207,15
207,20
207,28
207,29
208,15
208,20
208,28
208,29
209,14
209,15
209,21
209,22
